px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
6.48909	-2.6666	-2.60234	1.96754	1.0998	6.43257	-2.84245	6.45	-2.85	0.909503	-2.72851	1.84479
6.49949	-2.79786	-2.57809	1.96295	1.01022	6.46536	-3.00452	6.45	-3	0	-2.99754	3.6267
6.52018	-2.95619	-2.61912	1.97913	0.966882	6.44119	-3.14955	6.45	-3.15	0	-2.99754	2.39928
6.57672	-3.10716	-2.65177	2.02984	0.967739	6.52249	-3.32007	6.5	-3.3	0.910402	-2.7312	1.34024
6.61403	-3.27644	-2.6892	2.0487	0.9269	6.5453	-3.45745	6.55	-3.45	0.910402	-2.7312	2.08748
6.69745	-3.42559	-2.74096	2.11666	0.958087	6.6358	-3.59197	6.65	-3.6	1.81722	-2.72583	2.57048
6.76412	-3.58784	-2.77431	2.14688	0.930259	6.76011	-3.75457	6.75	-3.75	1.81721	-2.72581	1.50403
6.82813	-3.72633	-2.76225	2.17078	0.891923	6.83625	-3.92723	6.8	-3.9	0.907988	-2.72396	1.5089
6.89283	-3.89058	-2.79421	2.18854	0.855717	6.85997	-4.05805	6.85	-4.05	0.907976	-2.72393	1.63601
6.95559	-4.02573	-2.77356	2.20427	0.813372	6.86943	-4.18507	6.9	-4.2	0.909334	-2.72801	1.76829
7.01425	-4.19054	-2.80015	2.20966	0.769836	6.94332	-4.34473	6.95	-4.35	0.90933	-2.72799	1.69083
7.05801	-4.316	-2.72423	2.19888	0.690834	7.05156	-4.49706	7	-4.45	0.910054	-1.8201	9.37711
7.11841	-4.46465	-2.73629	2.2064	0.658122	7.04099	-4.55018	7.05	-4.55	0.910054	-1.8201	0.805466
7.18505	-4.59036	-2.70964	2.218	0.624195	7.10252	-4.67934	7.1	-4.7	0.908302	-2.72489	1.4157
7.2398	-4.74694	-2.72494	2.21303	0.58183	7.14735	-4.86125	7.15	-4.85	0.908297	-2.72489	1.31283
7.34374	-4.88339	-2.77445	2.25326	0.599879	7.3138	-5.05204	7.25	-5	1.81907	-2.72861	2.60177
7.40261	-5.0409	-2.78814	2.24478	0.555259	7.30424	-5.15404	7.35	-5.15	1.81907	-2.72861	1.37577
7.47472	-5.16694	-2.76621	2.25277	0.526647	7.29446	-5.23429	7.4	-5.3	0.908194	-2.7246	1.16729
7.53404	-5.32791	-2.7817	2.23894	0.48025	7.44737	-5.45308	7.45	-5.45	0.90819	-2.72457	1.42414
7.61966	-5.45583	-2.77574	2.25239	0.463472	7.63082	-5.61863	7.55	-5.55	1.81974	-1.81974	0.539801
7.69457	-5.59822	-2.78369	2.25289	0.436487	7.64356	-5.66706	7.65	-5.65	1.81972	-1.81972	0.454997
7.76827	-5.71885	-2.75572	2.2572	0.410844	7.60376	-5.74774	7.7	-5.8	0.90983	-2.72951	1.23314
7.82846	-5.87024	-2.76267	2.24162	0.369893	7.7342	-5.95374	7.75	-5.95	0.909826	-2.72948	0.991131
7.94315	-5.99482	-2.84329	2.28138	0.407043	7.82165	-6.06822	7.85	-6.1	1.9986	-2.9979	8.40055
8.0094	-6.13778	-2.85627	2.26841	0.370979	7.95703	-6.24328	7.95	-6.25	1.99858	-2.99787	0.850819
8.10102	-6.2631	-2.84083	2.27647	0.353908	8.17338	-6.44684	8.05	-6.35	1.81738	-1.81739	1.12551
8.18795	-6.40018	-2.84707	2.27774	0.33426	8.15891	-6.45335	8.15	-6.45	1.81737	-1.81737	0.228765
8.26849	-6.51858	-2.81843	2.28026	0.31393	8.08628	-6.51855	8.2	-6.6	0.909293	-2.72787	1.1929
8.33563	-6.66972	-2.82447	2.261	0.274851	8.25411	-6.74791	8.25	-6.75	0.909293	-2.72787	0.812804
8.42303	-6.79085	-2.81591	2.26749	0.265043	8.25648	-6.78122	8.35	-6.85	1.81994	-1.81993	0.346387
8.50152	-6.92617	-2.81658	2.26144	0.243151	8.44494	-6.95805	8.45	-6.95	1.81993	-1.81993	0.266103
8.57394	-7.03424	-2.79525	2.26135	0.227813	8.39359	-7.01743	8.5	-7.1	1.00006	-3.00018	0.753392
8.63005	-7.17334	-2.79998	2.23836	0.19134	8.54925	-7.24433	8.55	-7.25	1.00006	-3.00018	0.734961
